Product Name: REVLIMID,,,,,
Effective Date,Unit,% Change,Identifier,Dosage,Package Size
7/1/24,1069.86,7.00,59572-0405-00,5 mg,100s ea
1/1/22,999.87,4.50,59572-0405-00,5 mg,100s ea
1/1/21,956.81,4.50,59572-0405-00,5 mg,100s ea
1/1/20,915.61,6.00,59572-0405-00,5 mg,100s ea
1/3/19,863.78,3.50,59572-0405-00,5 mg,100s ea
7/10/18,834.57,5.00,59572-0405-00,5 mg,100s ea
10/20/17,794.83,9.00,59572-0405-00,5 mg,100s ea
7/11/17,729.20,1.80,59572-0405-00,5 mg,100s ea
1/11/17,716.66,8.00,59572-0405-00,5 mg,100s ea
8/20/16,663.58,3.00,59572-0405-00,5 mg,100s ea
3/10/16,644.25,6.80,59572-0405-00,5 mg,100s ea
10/2/15,603.23,4.00,59572-0405-00,5 mg,100s ea
6/25/15,580.03,3.00,59572-0405-00,5 mg,100s ea
12/23/14,563.13,3.00,59572-0405-00,5 mg,100s ea
9/3/14,546.73,6.20,59572-0405-00,5 mg,100s ea
3/6/14,514.67,4.00,59572-0405-00,5 mg,100s ea
10/1/13,494.88,3.00,59572-0405-00,5 mg,100s ea
3/30/13,480.46,3.00,59572-0405-00,5 mg,100s ea
11/1/12,466.47,6.00,59572-0405-00,5 mg,100s ea
11/29/11,440.07,6.00,59572-0405-00,5 mg,100s ea
12/11/10,415.16,7.00,59572-0405-00,5 mg,100s ea
1/5/10,388.00,8.90,59572-0405-00,5 mg,100s ea
5/6/09,356.29,9.90,59572-0405-00,5 mg,100s ea
12/5/08,324.08,4.00,59572-0405-00,5 mg,100s ea
1/4/08,311.61,9.90,59572-0405-00,5 mg,100s ea
1/3/07,283.54,9.90,59572-0405-00,5 mg,100s ea
12/29/05,258.00,0.00,59572-0405-00,5 mg,100s ea
7/1/24,1069.86,7.00,59572-0405-28,5 mg,28s ea
1/1/22,999.87,4.50,59572-0405-28,5 mg,28s ea
1/1/21,956.81,4.50,59572-0405-28,5 mg,28s ea
1/1/20,915.61,6.00,59572-0405-28,5 mg,28s ea
1/3/19,863.78,3.50,59572-0405-28,5 mg,28s ea
7/10/18,834.57,5.00,59572-0405-28,5 mg,28s ea
10/20/17,794.83,9.00,59572-0405-28,5 mg,28s ea
7/11/17,729.20,1.80,59572-0405-28,5 mg,28s ea
1/11/17,716.66,8.00,59572-0405-28,5 mg,28s ea
8/20/16,663.58,3.00,59572-0405-28,5 mg,28s ea
3/10/16,644.25,6.80,59572-0405-28,5 mg,28s ea
10/2/15,603.23,4.00,59572-0405-28,5 mg,28s ea
6/25/15,580.03,3.00,59572-0405-28,5 mg,28s ea
12/23/14,563.13,3.00,59572-0405-28,5 mg,28s ea
9/3/14,546.73,6.20,59572-0405-28,5 mg,28s ea
3/6/14,514.67,4.00,59572-0405-28,5 mg,28s ea
10/1/13,494.88,3.00,59572-0405-28,5 mg,28s ea
3/30/13,480.46,3.00,59572-0405-28,5 mg,28s ea
11/1/12,466.47,6.00,59572-0405-28,5 mg,28s ea
11/29/11,440.07,6.00,59572-0405-28,5 mg,28s ea
12/11/10,415.16,7.00,59572-0405-28,5 mg,28s ea
1/5/10,388.00,8.90,59572-0405-28,5 mg,28s ea
5/6/09,356.29,9.90,59572-0405-28,5 mg,28s ea
4/1/09,324.07,0.00,59572-0405-28,5 mg,28s ea
7/1/24,1069.86,7.00,59572-0420-21,20 mg,21s ea
1/1/22,999.87,4.50,59572-0420-21,20 mg,21s ea
1/1/21,956.81,4.50,59572-0420-21,20 mg,21s ea
1/1/20,915.61,6.00,59572-0420-21,20 mg,21s ea
1/3/19,863.78,3.50,59572-0420-21,20 mg,21s ea
7/10/18,834.57,5.00,59572-0420-21,20 mg,21s ea
10/20/17,794.83,9.00,59572-0420-21,20 mg,21s ea
7/11/17,729.20,1.70,59572-0420-21,20 mg,21s ea
1/11/17,716.66,8.00,59572-0420-21,20 mg,21s ea
8/20/16,663.58,3.00,59572-0420-21,20 mg,21s ea
