"brand_name","2019","2020","2021","2022","2023"
"Pomalyst",17285.58,18384.45,19251.69,20231.95,21709.94
"Cabometyx",19535.47,20556.89,21897.65,23771.35,25774.65
"Revlimid",15177.81,16237.15,17117.63,18021.65,17852.36
"Ibrance",12157.58,12771.14,13464.14,14449.8,15669.08
"Vyndamax",23486.16,22930.52,22554.34,24249.66,25769.16
"Tagrisso",15538.1,15945.8,16297.26,16717.9,17389.05
"Lenvima",18470.76,19339.91,20587.97,22102.91,23954.57
"Imbruvica",11838.36,12724.1,13637.93,14584.66,15601.28
"Sprycel",11155.56,11729.31,12244.23,12766.47,13504.33
"Opsumit",10167.63,10680.68,11196.55,11810.4,12802.52
