"brand_name","2019","2020","2021","2022","2023"
"Pomalyst",1401433,1603901,1664887,1726966,1569928
"Cabometyx",674068,560646,902332,1137926,1263204
"Revlimid",6267746,6742991,7014892,6720907,4395154
"Ibrance",3127039,3439211,2926286,2807585,2683726
"Vyndamax",23320,392654,816461,1221082,1835099
"Tagrisso",1255383,1521951,1718245,1975328,2163426
"Lenvima",936705,1139310,1296804,1632214,1842278
"Imbruvica",7977266,8891905,8599901,7182052,5656766
"Sprycel",1088739,1141270,1154014,1225883,1174245
"Opsumit",1627037,2183090,2324149,2082618,2399203
