Brand Name,Generic Name,manufacturer,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
1st Tier Unifine Pentips ,"Pen Needle, Diabetic ",Owen Mumford Us ,"$75,374.20 ","403,344","3,468","1,249",$0.19 ,$21.73 ,$60.35 ,"$94,537.70 ","518,920","4,376","1,620",$0.18 ,$21.60 ,$58.36 ,"$123,285.70 ","677,160","5,620","2,087",$0.18 ,$21.94 ,$59.07 ,"$133,958.25 ","717,548","5,789","2,283",$0.19 ,$23.14 ,$58.68 ,"$215,930.43 ","1,050,323","8,897","3,423",$0.21 ,$24.27 ,$63.08 ,10.73%,2.58%
1st Tier Unifine Pentips Plus ,"Pen Needle, Diabetic ",Owen Mumford Us ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$54,091.29 ","269,725","2,275","1,289",$0.20 ,$23.78 ,$41.96 ,"$197,091.75 ","986,070","7,890","4,330",$0.20 ,$24.98 ,$45.52 ,"$370,090.94 ","1,715,263","14,318","6,456",$0.22 ,$25.85 ,$57.33 ,7.98%,3.73%
Abacavir ,Abacavir Sulfate ,Apotex Corp ,  ,  ,  ,  ,  ,  ,  ,"$4,492,741.67 ","628,513","10,020","2,114",$7.15 ,$448.38 ,"$2,125.23 ","$4,422,728.85 ","670,970","10,779","2,366",$6.59 ,$410.31 ,"$1,869.29 ","$3,548,716.76 ","642,855","10,000","2,184",$5.52 ,$354.87 ,"$1,624.87 ","$2,491,345.83 ","533,661","8,449","2,320",$4.67 ,$294.87 ,"$1,073.86 ",-15.43%,-13.24%
Abacavir ,Abacavir Sulfate ,Aurobindo Pharm ,  ,  ,  ,  ,  ,  ,  ,"$3,559,814.51 ","495,218","7,646","1,920",$7.19 ,$465.58 ,"$1,854.07 ","$5,525,980.35 ","867,691","13,808","2,754",$6.37 ,$400.20 ,"$2,006.53 ","$6,634,496.81 ","1,205,223","19,508","3,696",$5.50 ,$340.09 ,"$1,795.05 ","$7,154,093.03 ","1,558,949","25,385","4,602",$4.59 ,$281.82 ,"$1,554.56 ",-16.64%,-13.89%
Abacavir ,Abacavir Sulfate ,Camber Pharmace ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,099,419.52 ","175,808","2,842",867,$6.25 ,$386.85 ,"$1,268.07 ","$2,127,587.71 ","377,106","6,228","1,823",$5.64 ,$341.62 ,"$1,167.08 ","$6,766,490.99 ","1,547,860","23,189","4,580",$4.37 ,$291.80 ,"$1,477.40 ",-22.52%,-16.39%
Abacavir ,Abacavir Sulfate ,Mylan ,"$10,297,511.84 ","1,325,269","20,813","5,601",$7.77 ,$494.76 ,"$1,838.51 ","$18,776,293.82 ","2,624,085","41,161","7,206",$7.16 ,$456.17 ,"$2,605.65 ","$16,830,161.62 ","2,613,507","40,575","6,779",$6.44 ,$414.79 ,"$2,482.69 ","$12,193,567.12 ","2,185,794","33,241","6,075",$5.58 ,$366.82 ,"$2,007.17 ","$2,925,844.14 ","613,193","9,503","2,855",$4.77 ,$307.89 ,"$1,024.81 ",-14.47%,-11.48%
Abacavir ,Abacavir Sulfate ,Mylan Instituti ,"$34,914.16 ","4,477",71,39,$7.80 ,$491.75 ,$895.23 ,"$70,110.93 ","9,690",179,49,$7.24 ,$391.68 ,"$1,430.84 ","$63,474.69 ","9,939",183,53,$6.39 ,$346.86 ,"$1,197.64 ","$59,538.70 ","10,556",191,42,$5.64 ,$311.72 ,"$1,417.59 ","$25,329.83 ","5,485",98,26,$4.62 ,$258.47 ,$974.22 ,-18.12%,-12.28%
Abacavir-Lamivudine-Zidovudine ,Abacavir/Lamivudine/Zidovudine ,Lupin Pharmaceu ,  ,  ,  ,  ,  ,  ,  ,"$78,230.03 ","3,473",49,49,$22.53 ,"$1,596.53 ","$1,596.53 ","$17,167,220.41 ","766,713","12,201","1,821",$22.39 ,"$1,407.03 ","$9,427.36 ","$16,626,213.80 ","759,933","12,216","1,621",$21.88 ,"$1,361.02 ","$10,256.76 ","$12,787,721.57 ","608,455","9,768","1,333",$21.02 ,"$1,309.14 ","$9,593.19 ",-3.94%,-2.28%
Abelcet ,Amphotericin B Lipid Complex ,Sigma-Tau ,"$585,453.65 ","59,917",465,109,$9.77 ,"$1,259.04 ","$5,371.13 ","$582,002.93 ","56,574",435,130,$10.29 ,"$1,337.94 ","$4,476.95 ","$514,240.20 ","55,290",419,116,$9.30 ,"$1,227.30 ","$4,433.11 ","$552,847.75 ","47,600",439,102,$11.61 ,"$1,259.33 ","$5,420.08 ","$752,938.84 ","85,650",476,140,$8.79 ,"$1,581.80 ","$5,378.13 ",-24.31%,-2.61%
Abilify ,Aripiprazole ,Otsuka America ,"$1,757,978,183.40 ","82,156,726","2,571,083","376,409",$21.67 ,$683.75 ,"$4,670.39 ","$2,106,994,322.60 ","86,144,617","2,885,867","396,575",$24.71 ,$730.11 ,"$5,312.98 ","$2,527,237,451.30 ","88,194,589","2,963,256","405,001",$28.97 ,$852.86 ,"$6,240.08 ","$1,572,372,601.20 ","47,852,622","1,635,185","322,485",$33.13 ,$961.59 ,"$4,875.80 ","$92,475,981.62 ","2,936,585","97,631","39,246",$31.48 ,$947.20 ,"$2,356.32 ",-4.97%,9.79%
Abilify Maintena ,Aripiprazole ,Otsuka America ,  ,  ,  ,  ,  ,  ,  ,"$21,278,004.27 ","14,794","14,694","3,986","$1,438.48 ","$1,448.07 ","$5,338.18 ","$83,362,843.56 ","55,134","54,759","9,639","$1,512.11 ","$1,522.36 ","$8,648.50 ","$148,259,378.06 ","92,724","92,211","14,000","$1,599.00 ","$1,607.83 ","$10,589.96 ","$201,856,628.39 ","117,247","116,230","17,158","$1,721.52 ","$1,736.70 ","$11,764.58 ",7.66%,6.17%
Abraxane ,Paclitaxel Protein-Bound ,Celgene ,"$1,592,913.74 ","1,623",307,82,$981.46 ,"$5,188.64 ","$19,425.78 ","$2,915,287.29 ","3,380",557,161,$862.51 ,"$5,233.91 ","$18,107.37 ","$4,546,656.69 ","5,000",835,257,$909.33 ,"$5,445.10 ","$17,691.27 ","$4,481,987.77 ","4,478",824,226,"$1,000.89 ","$5,439.31 ","$19,831.80 ","$5,472,304.71 ","4,766",890,247,"$1,148.29 ","$6,148.66 ","$22,155.08 ",14.73%,4.00%
Absorica ,Isotretinoin ,Ranbaxy/Sun Pha ,  ,  ,  ,  ,  ,  ,  ,"$38,562.60 ","1,660",43,23,$23.23 ,$896.80 ,"$1,676.63 ","$138,517.18 ","5,251",111,51,$26.38 ,"$1,247.90 ","$2,716.02 ","$139,216.71 ","5,110",113,61,$27.24 ,"$1,232.01 ","$2,282.24 ","$124,497.92 ","3,960",89,49,$31.44 ,"$1,398.85 ","$2,540.77 ",15.40%,10.61%
Abstral ,Fentanyl Citrate ,Galena Biopharm ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,360,364.03 ","48,578",483,169,$59.95 ,"$6,957.28 ","$19,883.81 ","$7,017,793.08 ","93,136",792,163,$68.49 ,"$8,860.85 ","$43,053.95 ","$8,284,343.87 ","97,580",801,164,$77.00 ,"$10,342.50 ","$50,514.29 ",12.43%,13.33%
Acamprosate Calcium ,Acamprosate Calcium ,Glenmark Pharma ,  ,  ,  ,  ,  ,  ,  ,"$840,135.42 ","792,170","4,881","2,576",$1.06 ,$172.12 ,$326.14 ,"$2,719,351.57 ","2,742,982","17,236","6,184",$0.99 ,$157.77 ,$439.74 ,"$3,000,154.60 ","3,187,223","20,011","7,085",$0.94 ,$149.93 ,$423.45 ,"$3,105,826.66 ","3,302,434","20,624","7,150",$0.94 ,$150.59 ,$434.38 ,-0.09%,-3.93%
Acamprosate Calcium ,Acamprosate Calcium ,Mylan ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$201,117.53 ","233,840","1,265",935,$0.86 ,$158.99 ,$215.10 ,"$1,171,742.75 ","1,290,819","8,268","3,422",$0.91 ,$141.72 ,$342.41 ,"$939,318.53 ","1,058,141","6,855","3,101",$0.89 ,$137.03 ,$302.91 ,-2.21%,1.59%
Acamprosate Calcium ,Acamprosate Calcium ,Mylan Instituti ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,663.42 ","1,822",14,11,$0.91 ,$118.82 ,$151.22 ,"$32,044.98 ","34,012",256,137,$0.94 ,$125.18 ,$233.90 ,"$55,190.79 ","58,486",414,198,$0.94 ,$133.31 ,$278.74 ,0.16%,1.67%
Acanya ,Clindamycin Phos/Benzoyl Perox ,Valeant ,"$155,565.68 ","30,950",617,387,$5.03 ,$252.13 ,$401.98 ,"$290,935.56 ","46,265",888,574,$6.29 ,$327.63 ,$506.86 ,"$351,156.40 ","46,645",911,572,$7.53 ,$385.46 ,$613.91 ,"$360,520.84 ","42,010",799,452,$8.58 ,$451.22 ,$797.61 ,"$293,488.75 ","33,180",630,354,$8.85 ,$465.86 ,$829.06 ,3.07%,15.18%
