Brand Name,Generic Name,Number of Manufacturers,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
1st Tier Unifine Pentips ,"Pen Needle, Diabetic ",1,"$75,374.20 ","403,344","3,468","1,249",$0.19 ,$21.73 ,$60.35 ,"$94,537.70 ","518,920","4,376","1,620",$0.18 ,$21.60 ,$58.36 ,"$123,285.70 ","677,160","5,620","2,087",$0.18 ,$21.94 ,$59.07 ,"$133,958.25 ","717,548","5,789","2,283",$0.19 ,$23.14 ,$58.68 ,"$215,930.43 ","1,050,323","8,897","3,423",$0.21 ,$24.27 ,$63.08 ,10.73%,2.58%
1st Tier Unifine Pentips Plus ,"Pen Needle, Diabetic ",1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$54,091.29 ","269,725","2,275","1,289",$0.20 ,$23.78 ,$41.96 ,"$197,091.75 ","986,070","7,890","4,330",$0.20 ,$24.98 ,$45.52 ,"$370,090.94 ","1,715,263","14,318","6,456",$0.22 ,$25.85 ,$57.33 ,7.98%,3.73%
Abacavir ,Abacavir Sulfate ,5,"$10,332,426.00 ","1,329,746","20,884","5,616",$7.77 ,$494.75 ,"$1,839.82 ","$26,898,960.93 ","3,757,506","59,006","8,354",$7.16 ,$455.87 ,"$3,219.89 ","$27,941,765.03 ","4,337,915","68,187","9,069",$6.44 ,$409.78 ,"$3,081.02 ","$24,563,907.10 ","4,421,534","69,168","9,312",$5.56 ,$355.13 ,"$2,637.88 ","$19,363,103.82 ","4,259,148","66,624","9,006",$4.55 ,$290.63 ,"$2,150.02 ",-18.10%,-12.53%
Abacavir-Lamivudine-Zidovudine ,Abacavir/Lamivudine/Zidovudine ,1,  ,  ,  ,  ,  ,  ,  ,"$78,230.03 ","3,473",49,49,$22.53 ,"$1,596.53 ","$1,596.53 ","$17,167,220.41 ","766,713","12,201","1,821",$22.39 ,"$1,407.03 ","$9,427.36 ","$16,626,213.80 ","759,933","12,216","1,621",$21.88 ,"$1,361.02 ","$10,256.76 ","$12,787,721.57 ","608,455","9,768","1,333",$21.02 ,"$1,309.14 ","$9,593.19 ",-3.94%,-2.28%
Abelcet ,Amphotericin B Lipid Complex ,1,"$585,453.65 ","59,917",465,109,$9.77 ,"$1,259.04 ","$5,371.13 ","$582,002.93 ","56,574",435,130,$10.29 ,"$1,337.94 ","$4,476.95 ","$514,240.20 ","55,290",419,116,$9.30 ,"$1,227.30 ","$4,433.11 ","$552,847.75 ","47,600",439,102,$11.61 ,"$1,259.33 ","$5,420.08 ","$752,938.84 ","85,650",476,140,$8.79 ,"$1,581.80 ","$5,378.13 ",-24.31%,-2.61%
Abilify ,Aripiprazole ,1,"$1,757,978,183.40 ","82,156,726","2,571,083","376,408",$21.67 ,$683.75 ,"$4,670.41 ","$2,106,994,322.60 ","86,144,617","2,885,867","396,572",$24.71 ,$730.11 ,"$5,313.02 ","$2,527,237,451.30 ","88,194,589","2,963,256","405,000",$28.97 ,$852.86 ,"$6,240.09 ","$1,572,372,601.20 ","47,852,622","1,635,185","322,482",$33.13 ,$961.59 ,"$4,875.85 ","$92,475,981.62 ","2,936,585","97,631","39,246",$31.48 ,$947.20 ,"$2,356.32 ",-4.97%,9.79%
Abilify Maintena ,Aripiprazole ,1,  ,  ,  ,  ,  ,  ,  ,"$21,278,004.27 ","14,794","14,694","3,986","$1,438.48 ","$1,448.07 ","$5,338.18 ","$83,362,843.56 ","55,134","54,759","9,639","$1,512.11 ","$1,522.36 ","$8,648.50 ","$148,259,378.06 ","92,724","92,211","14,001","$1,599.00 ","$1,607.83 ","$10,589.20 ","$201,856,628.39 ","117,247","116,230","17,158","$1,721.52 ","$1,736.70 ","$11,764.58 ",7.66%,6.17%
Abraxane ,Paclitaxel Protein-Bound ,1,"$1,592,913.74 ","1,623",307,82,$981.46 ,"$5,188.64 ","$19,425.78 ","$2,915,287.29 ","3,380",557,161,$862.51 ,"$5,233.91 ","$18,107.37 ","$4,546,656.69 ","5,000",835,257,$909.33 ,"$5,445.10 ","$17,691.27 ","$4,481,987.77 ","4,478",824,226,"$1,000.89 ","$5,439.31 ","$19,831.80 ","$5,472,304.71 ","4,766",890,247,"$1,148.29 ","$6,148.66 ","$22,155.08 ",14.73%,4.00%
Absorica ,Isotretinoin ,1,  ,  ,  ,  ,  ,  ,  ,"$38,562.60 ","1,660",43,23,$23.23 ,$896.80 ,"$1,676.63 ","$138,517.18 ","5,251",111,51,$26.38 ,"$1,247.90 ","$2,716.02 ","$139,216.71 ","5,110",113,61,$27.24 ,"$1,232.01 ","$2,282.24 ","$124,497.92 ","3,960",89,49,$31.44 ,"$1,398.85 ","$2,540.77 ",15.40%,10.61%
Abstral ,Fentanyl Citrate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,360,364.03 ","48,578",483,169,$59.95 ,"$6,957.28 ","$19,883.81 ","$7,017,793.08 ","93,136",792,163,$68.49 ,"$8,860.85 ","$43,053.95 ","$8,284,343.87 ","97,580",801,164,$77.00 ,"$10,342.50 ","$50,514.29 ",12.43%,13.33%
