"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",60.35,58.36,59.07,58.68,63.08,72.04563306,71.41981205,74.12230032,74.56002508,77.89852247,61.06330427,63.45499285
"1st Tier Unifine Pentips Plus",NA,NA,41.96,45.52,57.33,67.39143288,65.10448537,64.49171273,53.8328169,74.70403737,77.74867029,77.30953433
"Abacavir",NA,2125.23,1869.29,1624.87,1073.86,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,1854.07,2006.53,1795.05,1554.56,1649.780601,1385.223213,1347.352514,1374.935009,1365.212479,1675.703714,1462.681181
"Abacavir",NA,NA,1268.07,1167.08,1477.4,1228.014237,1258.956414,1281.172487,1429.031965,1305.896089,1763.65137,1709.413057
"Abacavir",1838.51,2605.65,2482.69,2007.17,1024.81,1407.176414,983.5099464,1287.655003,1341.041685,1236.098504,1608.644,1421.542004
"Abacavir",895.23,1430.84,1197.64,1417.59,974.22,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,1596.53,9427.36,10256.76,9593.19,10461.88848,9796.22693,NA,NA,NA,NA,NA
"Abelcet",5371.13,4476.95,4433.11,5420.08,5378.13,NA,NA,NA,NA,NA,NA,NA
"Abilify",4670.39,5312.98,6240.08,4875.8,2356.32,5428.814303,6625.084512,7317.338079,9669.001031,9422.654637,6844.384531,6845.013358
