"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",21.73,21.6,21.94,23.14,24.27,25.35637464,25.57261854,25.81633531,26.68235136,27.58380798,28.00464214,27.49847489
"1st Tier Unifine Pentips Plus",NA,NA,23.78,24.98,25.85,26.10690645,24.74066372,23.52591866,25.00203972,28.90607581,29.7975923,29.96365249
"Abacavir",NA,448.38,410.31,354.87,294.87,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,465.58,400.2,340.09,281.82,279.244553,269.625103,236.3469731,220.4563616,218.7559874,255.8410826,233.8835692
"Abacavir",NA,NA,386.85,341.62,291.8,272.4658554,252.316943,237.9474611,261.6050453,239.2227436,319.2022913,307.042982
"Abacavir",494.76,456.17,414.79,366.82,307.89,281.4842793,276.68746,242.7255486,268.4237655,250.5524651,307.1704686,269.9203239
"Abacavir",491.75,391.68,346.86,311.72,258.47,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,1596.53,1407.03,1361.02,1309.14,1363.3732,1312.820144,NA,NA,NA,NA,NA
"Abelcet",1259.04,1337.94,1227.3,1259.33,1581.8,NA,NA,NA,NA,NA,NA,NA
"Abilify",683.75,730.11,852.86,961.59,947.2,1171.099019,1210.898143,1282.517348,1384.018916,1342.300713,967.2617621,980.8454965
