"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",75374.2,94537.7,123285.7,133958.25,215930.43,217938.04,167193.78,139201.68,118923.24,102280.76,70039.61,44355.04
"1st Tier Unifine Pentips Plus",NA,NA,54091.29,197091.75,370090.94,402124.68,369402.85,343031.42,210217.15,131927.33,114601.54,97951.18
"Abacavir",NA,4492741.67,4422728.85,3548716.76,2491345.83,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,3559814.51,5525980.35,6634496.81,7154093.03,5846822.45,4621104.64,3097563.43,2415760.81,2114714.13,1935437.79,1411487.34
"Abacavir",NA,NA,1099419.52,2127587.71,6766490.99,5320985.69,4230093.55,4234275.07,4217073.33,3098891.42,3116371.97,2449588.91
"Abacavir",10297511.84,18776293.82,16830161.62,12193567.12,2925844.14,1616845.7,1468380.35,1937920.78,1670937.94,1040794.94,957143.18,666703.2
"Abacavir",34914.16,70110.93,63474.69,59538.7,25329.83,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,78230.03,17167220.41,16626213.8,12787721.57,10158493.71,6955321.12,NA,NA,NA,NA,NA
"Abelcet",585453.65,582002.93,514240.2,552847.75,752938.84,NA,NA,NA,NA,NA,NA,NA
"Abilify",1757978183.4,2106994322.6,2527237451.3,1572372601.2,92475981.62,37757403.48,31071646.36,26854630.75,24481910.61,20484851.18,13141218.3,11882943.19
