"brand_name","manufacturer","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst","Celgene/BMS",NA,41560.21,55134.16,63314.12,72099.57,83050.3431,97205.96302,106972.0806,120482.3706,126633.7921,137509.2825,134177.6015
"Revlimid","Celgene/BMS",49884.52,54796.42,61585.77,68217.43,75237.52,88498.93045,103028.1319,110713.2377,122432.4016,129241.6326,130277.4786,104412.1727
"Thalomid","Celgene/BMS",34985.84,37405.95,38732.36,40098.89,38983.69,40535.02813,38661.5416,37911.76719,39591.96904,41533.71675,40421.5143,38791.55632
"Lenalidomide","Alvogen Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37006.20837,79101.13322
"Lenalidomide","Apotex Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28110.65,40613.46938
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28664.84393
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30089.7259
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21533.44474,55765.07462
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26811.76061,40359.22663
"Lenalidomide","Mylan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35568.34814,72109.77406
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47888.56867
"Lenalidomide","Teva Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47106.85573,49912.05839
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35087.58127
