"brand_name","manufacturer","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst","Celgene/BMS",NA,509.95,532.8,567.93,630.8,711.2945498,796.8670841,850.7048282,906.4593478,958.0729343,1009.793631,1088.759899
"Revlimid","Celgene/BMS",389.37,418.4,450.97,489.91,543.59,626.9260148,697.3542512,745.588496,794.3280265,840.1744443,883.0961774,878.2121963
"Thalomid","Celgene/BMS",205.55,219.07,231.13,236.04,233.26,236.4224403,233.8382996,236.895126,241.1793414,243.2023801,240.8672349,242.4011275
"Lenalidomide","Alvogen Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.82076,709.1707054
"Lenalidomide","Apotex Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674.6846118,671.2993831
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753.891137
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685.8303845
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711.9184961,697.5366339
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691.2187653,674.3301553
"Lenalidomide","Mylan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640.6025945,641.7003771
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686.2105605
"Lenalidomide","Teva Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694.4199516,679.4112562
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700.4373473
