"brand_name","manufacturer","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst","Celgene/BMS",NA,3073,4719,5676,6611,7695,9375,11145,12067,12596,12682,12739
"Revlimid","Celgene/BMS",20391,24636,27143,30453,35376,37415,39454,42209,43747,45601,45557,36967
"Thalomid","Celgene/BMS",3169,2679,2202,1881,1502,1233,1073,925,837,695,607,500
"Lenalidomide","Alvogen Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1755,3311
"Lenalidomide","Apotex Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,3578
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119,3181
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2358,6422
"Lenalidomide","Mylan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353,2147
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985
"Lenalidomide","Teva Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5077,9142
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3626
