"brand_name","manufacturer","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst","Celgene/BMS",NA,250457,488321,632781,755623,898474,1143614,1401432.992,1603901,1664887,1726966,1569928
"Revlimid","Celgene/BMS",2612956,3227606,3707616,4240330,4896215,5281270.99,5828985,6267746,6742991,7014892,6720907,4395154
"Thalomid","Celgene/BMS",545567,460860,371644,322301,252686,212492,178971,149324,139020,120176,103012,80752
"Lenalidomide","Alvogen Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94444,369394
"Lenalidomide","Apotex Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13162,216411
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2317
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33841,254365
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91436,384405
"Lenalidomide","Mylan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75136,241242
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138490
"Lenalidomide","Teva Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344502,671663
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181653
