"effective_date","59572-0405-00_5 mg_100s ea","inflated_value"
2005-12-01,,258.731
2005-12-29,258,
2006-01-01,,259.593436666667
2006-02-01,,260.372216976667
2006-03-01,,261.1099382581
2006-04-01,,261.871508911353
2006-05-01,,262.788059192543
2006-06-01,,263.72971640465
2006-06-30,258,
2006-07-01,,264.630792935699
2006-08-01,,265.468790446662
2006-09-01,,265.933360829944
2006-10-01,,266.221455304176
2006-11-01,,266.665157729683
2006-12-01,,267.22071014162
2007-01-01,,267.688346384368
2007-01-03,283.54,
2007-02-01,,268.223723077136
2007-03-01,,268.849578430983
2007-04-01,,269.432085850917
2007-05-01,,270.038308044081
2007-06-01,,270.645894237181
2007-07-01,,271.187186025655
2007-08-01,,271.639164669031
2007-09-01,,272.272989386592
2007-10-01,,273.06711893897
2007-11-01,,274.045609448501
2007-12-01,,274.98193194745
2008-01-01,,275.967283870262
2008-01-04,311.61,
2008-02-01,,276.887174816496
2008-03-01,,277.810132065884
2008-04-01,,278.713014995098
2008-05-01,,279.688510547581
2008-06-01,,280.853879341529
2008-07-01,,282.164530778457
2008-08-01,,283.43427116696
2008-09-01,,284.591627774225
2008-10-01,,285.469118626529
2008-11-01,,285.730798651936
2008-12-01,,285.754609551824
2008-12-05,324.08,
2009-01-01,,285.754609551824
2009-02-01,,285.802235320083
2009-03-01,,285.706967908309
2009-04-01,324.08,285.540305510363
2009-05-01,,285.230970179393
2009-05-06,356.29,
2009-06-01,,284.898200714184
2009-07-01,,284.399628862934
2009-08-01,,284.044129326856
2009-09-01,,283.736414853418
2009-10-01,,283.689125450943
2009-11-01,,284.114659139119
2009-12-01,,284.753917122182
2010-01-01,,285.370883942613
2010-01-05,388,
2010-02-01,,285.870282989513
2010-03-01,,286.41820103191
2010-04-01,,286.943301067135
2010-05-01,,287.421539902247
2010-06-01,,287.685009647157
2010-07-01,,287.972694656804
2010-08-01,,288.236669626906
2010-09-01,,288.500886574064
2010-10-01,,288.789387460638
2010-11-01,,289.05411106581
2010-12-01,,289.415428704643
2010-12-11,415.16,
2011-01-01,,289.801315942916
2011-02-01,,290.308468245816
2011-03-01,,290.961662299369
2011-04-01,,291.7375600655
2011-05-01,,292.612772745697
2011-06-01,,293.490611063934
2011-07-01,,294.371082897126
2011-08-01,,295.303257992967
2011-09-01,,296.262993581444
2011-10-01,,297.12709397939
2011-11-01,,297.968954078998
2011-11-29,440.07,
2011-12-01,,298.713876464195
2012-01-01,,299.435768332317
2012-02-01,,300.159404772454
2012-03-01,,300.834763433192
2012-04-01,,301.411363396439
2012-04-16,440.07,
2012-05-01,,301.838362827917
2012-06-01,,302.265967175257
2012-07-01,,302.618610803628
2012-08-01,,303.047320502266
2012-09-01,,303.55239936977
2012-10-01,,304.108912101948
2012-11-01,466.47,304.565075470101
2012-12-01,,304.99654266035
2013-01-01,,305.403204717231
2013-02-01,,305.912210058426
2013-03-01,,306.294600320999
2013-03-30,480.46,
2013-04-01,,306.575370371293
2013-05-01,,306.933041636727
2013-06-01,,307.393441199182
2013-06-18,480.46,
2013-07-01,,307.90576360118
2013-08-01,,308.290645805682
2013-09-01,,308.598936451487
2013-10-01,494.88,308.856102231864
2013-11-01,,309.164958334095
2013-12-01,,309.551414532013
2014-01-01,,309.964149751389
2014-02-01,,310.248283555328
2014-03-01,,310.636093909772
2014-03-06,514.67,
2014-04-01,,311.153820732955
2014-05-01,,311.698339919238
2014-06-01,,312.243812014096
2014-07-01,,312.764218367453
2014-08-01,,313.20730101014
2014-09-01,,313.651011353238
2014-09-03,546.73,
2014-10-01,,314.095350285988
2014-11-01,,314.435620248798
2014-12-01,,314.645243995631
2014-12-23,563.13,
2015-01-01,,314.619023558631
2015-02-01,,314.619023558631
2015-03-01,,314.592805306668
2015-04-01,,314.54037317245
2015-05-01,,314.54037317245
2015-06-01,,314.566584870214
2015-06-25,580.03,
2015-07-01,,314.61901263436
2015-08-01,,314.671449136465
2015-09-01,,314.671449136465
2015-10-01,,314.723894377988
2015-10-02,603.23,
2015-11-01,,314.855029333979
2015-12-01,,315.038694767757
2016-01-01,,315.406239911653
2016-02-01,,315.669078444912
2016-03-01,,315.905830253746
2016-03-10,644.25,
2016-04-01,,316.195410598145
2016-05-01,,316.458906773644
2016-06-01,,316.722622529288
2016-07-01,,316.933770944308
2016-08-01,,317.224293567674
2016-08-20,663.58,
2016-09-01,,317.620823934633
2016-10-01,,318.044318366546
2016-11-01,,318.494881150899
2016-12-01,,319.052247192913
2017-01-01,,319.716939374565
2017-01-11,716.66,
2017-02-01,,320.436302488157
2017-03-01,,321.077175093134
2017-04-01,,321.665816580805
2017-05-01,,322.175120790391
2017-06-01,,322.604687618111
2017-07-01,,323.06171092557
2017-07-11,729.2,
2017-08-01,,323.573225301202
2017-09-01,,324.166442880921
2017-10-01,,324.706720285723
2017-10-20,794.83,
2017-11-01,,325.30201593958
2017-12-01,,325.871294467474
2018-01-01,,326.441569232792
2018-02-01,,327.040045443052
2018-03-01,,327.694125533938
2018-04-01,,328.376821628801
2018-05-01,,329.143034212601
2018-06-01,,329.938463211948
2018-07-01,,330.735814498044
2018-07-10,834.57,
2018-08-01,,331.479970080665
2018-09-01,,332.115306689986
2018-10-01,,332.807213578923
2018-11-01,,333.417360137151
2018-12-01,,333.945270957369
2019-01-01,,334.390531318645
2019-01-03,863.78,
2019-02-01,,334.808519482793
2019-03-01,,335.338632971974
2019-04-01,,335.897530693594
2019-05-01,,336.401376989635
2019-06-01,,336.849912158954
2019-07-01,,337.355187027193
2019-08-01,,337.833106875481
2019-09-01,,338.311703776888
2019-10-01,,338.819171332554
2019-11-01,,339.412104882386
2019-12-01,,340.062644750077
2020-01-01,915.61,340.771108593306
2020-02-01,,341.42425321811
2020-03-01,,341.851033534633
2020-04-01,,341.936496293016
2020-05-01,,341.964991001041
2020-06-01,,342.135973496541
2020-07-01,,342.421086807788
2020-08-01,,342.792042985163
2020-09-01,,343.191967035313
2020-10-01,,343.535159002348
2020-11-01,,343.87869416135
2020-12-01,,344.279885971205
2021-01-01,956.81,344.681545838172
2021-02-01,,345.169844694776
2021-03-01,,345.917712691615
2021-04-01,,347.128424686035
2021-05-01,,348.574793122227
2021-06-01,,350.143379691277
2021-07-01,,351.719024899888
2021-08-01,,353.272450593196
2021-09-01,,354.862176620865
2021-10-01,,356.695631200073
2021-11-01,,358.71690644354
2021-12-01,,360.809421731127
2022-01-01,999.87,363.064480616947
2022-02-01,,365.454655114342
2022-03-01,,368.043292254735
2022-04-01,,370.588925026164
2022-05-01,,373.244812322184
2022-06-01,,376.075252148961
2022-07-01,,378.73911851835
2022-08-01,,381.358730754768
2022-09-01,,383.964682081592
2022-10-01,,386.428455458282
2022-11-01,,388.714823819744
2022-12-01,,390.820362448768
2023-01-01,,392.904737715161
2023-02-01,,394.869261403737
2023-03-01,,396.514549992919
2023-04-01,,398.133651072057
2023-05-01,,399.460763242297
2023-06-01,,400.459415150403
2023-07-01,,401.527306924137
2023-08-01,,402.76534945382
2023-09-01,,404.007209281302
2023-10-01,,405.084561839386
2023-11-01,,406.131030290804
2023-12-01,,407.281734876628
2024-01-01,,408.333879358393
2024-02-01,,409.422769703349
2024-03-01,,410.616919448317
2024-04-01,,411.78033405342
2024-05-01,,412.912729972067
2024-06-01,,413.945011796997
2024-07-01,1069.86,414.94537890884
2024-08-01,,415.809848448233
2024-09-01,,416.64146814513
2024-10-01,,417.544191326111
2024-11-01,,418.483665756595
2024-12-01,,419.495001282173
