"brand_name","2019","2020","2021","2022","2023"
"Pomalyst",106972.08,120482.37,126633.79,137509.28,134177.6
"Cabometyx",99974.58,94386.39,109365.39,125668.09,135117.54
"Revlimid",110713.24,122432.4,129241.63,130277.48,104412.17
"Ibrance",86439.29,98576.1,100709.02,111351.88,126188.17
"Vyndamax",43296.22,130820.01,149353.69,166096.79,177844.18
"Tagrisso",99018.77,113095.66,117386.37,125307.74,131241.31
"Lenvima",68565.84,75315.95,78975.09,88589.93,98536.79
"Imbruvica",95786.48,110362.77,120957.83,128542.97,138707.21
"Sprycel",81825.9,89712.74,89631.76,96581.25,99655.08
"Opsumit",79768.18,94406.38,97922.46,98969.01,112815.54
