"brand_name","manufacturer","2019","2020","2021","2022","2023"
"Lenalidomide","Alvogen Inc",NA,NA,NA,13818.27568,14395.85841
"Lenalidomide","Apotex Corp",NA,NA,NA,14212.74464,13651.00925
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,16041.79339
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,14398.76454
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,14585.91081,14264.12853
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,14404.67795,13862.48882
"Lenalidomide","Mylan",NA,NA,NA,12034.00226,12245.48643
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,13979.23659
"Lenalidomide","Teva Pharm",NA,NA,NA,14112.32115,13743.4426
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,14308.09376
"Pomalyst","Celgene/BMS",17285.58145,18384.45096,19251.68664,20231.94757,21709.93694
"Revlimid","Celgene/BMS",15177.80718,16237.14705,17117.62719,18021.64733,17852.3581
"Thalomid","Celgene/BMS",7152.434153,7321.802495,7361.880423,7237.716572,7159.755688
