"brand_name","manufacturer","2019","2020","2021","2022","2023"
"Lenalidomide","Alvogen Inc",NA,NA,NA,687.82076,709.1707054
"Lenalidomide","Apotex Corp",NA,NA,NA,674.6846118,671.2993831
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,753.891137
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,685.8303845
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,711.9184961,697.5366339
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,691.2187653,674.3301553
"Lenalidomide","Mylan",NA,NA,NA,640.6025945,641.7003771
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,686.2105605
"Lenalidomide","Teva Pharm",NA,NA,NA,694.4199516,679.4112562
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,700.4373473
"Pomalyst","Celgene/BMS",850.7048282,906.4593478,958.0729343,1009.793631,1088.759899
"Revlimid","Celgene/BMS",745.588496,794.3280265,840.1744443,883.0961774,878.2121963
"Thalomid","Celgene/BMS",236.895126,241.1793414,243.2023801,240.8672349,242.4011275
