"brand_name","manufacturer","2019","2020","2021","2022","2023"
"Lenalidomide","Alvogen Inc",NA,NA,NA,4700,18193
"Lenalidomide","Apotex Corp",NA,NA,NA,625,10645
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,109
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,163
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,1652,12436
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,4389,18697
"Lenalidomide","Mylan",NA,NA,NA,3999,12643
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,6800
"Lenalidomide","Teva Pharm",NA,NA,NA,16947,33201
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,8892
"Pomalyst","Celgene/BMS",68971,79081,82854,86195,78733
"Revlimid","Celgene/BMS",307890,329864,344297,329329,216207
"Thalomid","Celgene/BMS",4903,4526,3921,3390,2709
