"brand_name","manufacturer","2019","2020","2021","2022","2023"
"Lenalidomide","Alvogen Inc",NA,NA,NA,94444,369394
"Lenalidomide","Apotex Corp",NA,NA,NA,13162,216411
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,2317
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,3428
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,33841,254365
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,91436,384405
"Lenalidomide","Mylan",NA,NA,NA,75136,241242
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,138490
"Lenalidomide","Teva Pharm",NA,NA,NA,344502,671663
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,181653
"Pomalyst","Celgene/BMS",1401432.992,1603901,1664887,1726966,1569928
"Revlimid","Celgene/BMS",6267746,6742991,7014892,6720907,4395154
"Thalomid","Celgene/BMS",149324,139020,120176,103012,80752
