Brand Name,Generic Name,Tot_Mftr,Manufacturer,2017 Total Spending,2017 Total Dosage Units,2017 Total Claims,"2017 Total 
Beneficiaries",2017 Average Spending Per Dosage Unit (Weighted),"2017 Average 
Spending Per Claim","2017 Average 
Spending Per Beneficiary","2017 Outlier 
Flag",2018 Total Spending,2018 Total Dosage Units,2018 Total Claims,"2018 Total 
Beneficiaries",2018 Average Spending Per Dosage Unit (Weighted),"2018 Average 
Spending Per Claim","2018 Average 
Spending Per Beneficiary","2018 Outlier 
Flag"
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Overall,217938.04,1014318,8595,3025,0.216104703,25.35637464,72.04563306,0,167193.78,761658,6538,2341,0.219784789,25.57261854,71.41981205,0
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,217938.04,1014318,8595,3025,0.216104703,25.35637464,72.04563306,0,167193.78,761658,6538,2341,0.219784789,25.57261854,71.41981205,0
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Overall,402124.68,1850703,15403,5967,0.217359421,26.10690645,67.39143288,0,369402.85,1813908,14931,5674,0.203657836,24.74066372,65.10448537,0
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,402124.68,1850703,15403,5967,0.217359421,26.10690645,67.39143288,0,369402.85,1813908,14931,5674,0.203657836,24.74066372,65.10448537,0
Abacavir,Abacavir Sulfate,7,Overall,13386250.08,3189707,48283,8090,4.298588966,277.2456161,1654.666265,0,10685287.61,3041773,40513,7359,4.033746736,263.7496016,1452.002665,0
Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",,,,,,,,,227189.15,50997,832,241,4.454951272,273.0638822,942.6935685,0
Abacavir,Abacavir Sulfate,1,Major Pharmaceu,13130.04,2832,55,18,4.636313559,238.728,729.4466667,0,18653.71,4401,82,21,4.238516246,227.4842683,888.2719048,0
Abacavir,Abacavir Sulfate,1,Strides Pharma,588466.2,125413,2017,797,4.692226484,291.7531978,738.3515684,0,31864.29,7006,125,60,4.54814302,254.91432,531.0715,0
Abacavir,Abacavir Sulfate,1,Mylan,1616845.7,346490,5744,1149,4.666356028,281.4842793,1407.176414,0,1468380.35,329353,5307,1493,4.458378548,276.68746,983.5099464,0
Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,5846822.45,1296616,20938,3544,4.509293769,279.244553,1649.780601,0,4621104.64,1061307,17139,3336,4.354163913,269.625103,1385.223213,0
Abacavir,Abacavir Sulfate,1,Camber Pharmace,5320985.69,1418356,19529,4333,3.922904963,272.4658554,1228.014237,0,4230093.55,1413429,16765,3360,3.601426336,252.316943,1258.956414,0
Abacavir,Abacavir Sulfate,1,Rising Pharm,,,,,,,,,88001.92,175280,263,62,0.502064811,334.6080608,1419.385807,0
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,5,Overall,33787876.94,1730418,55234,10465,19.42103047,611.7224344,3228.655226,0,18265777.87,1669835,52728,8681,10.95002003,346.415147,2104.10988,1
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",3951652.78,260722,8646,2417,15.15657589,457.0498242,1634.941159,1,6073233.32,552209,17484,3232,10.99807015,347.3594898,1879.094468,1
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,6153237.12,392074,12957,3147,15.69407081,474.8967446,1955.270772,0,4837959.11,434734,14396,2559,11.12855013,336.0627334,1890.56628,1
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Aurobindo Pharm,4995527.15,308673,9732,2275,16.18388116,513.3094071,2195.83611,0,5046603.12,442317,13695,2311,11.40947131,368.4996802,2183.731337,1
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Teva USA,18687459.89,768949,23899,5455,24.3025999,781.9348044,3425.748834,0,2307982.32,240575,7153,1851,9.593608313,322.6593485,1246.884019,1
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Burel Pharmaceu,,,,,,,,,,,,,,,,
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Overall,10158493.71,468341,7451,971,21.69037883,1363.3732,10461.88848,0,6955321.12,330735,5298,710,21.02989136,1312.820144,9796.22693,0
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Lupin Pharmaceu,10158493.71,468341,7451,971,21.69037883,1363.3732,10461.88848,0,6955321.12,330735,5298,710,21.02989136,1312.820144,9796.22693,0
Abelcet,Amphotericin B Lipid Complex,1,Overall,675695.03,68490,420,137,9.865601256,1608.797691,4932.080511,0,766166.41,101857.38,620,205,7.521952852,1235.752274,3737.397122,0
Abelcet,Amphotericin B Lipid Complex,1,Leadiant Biosci,675695.03,68490,420,137,9.865601256,1608.797691,4932.080511,0,766166.41,101857.38,620,205,7.521952852,1235.752274,3737.397122,0
Abilify,Aripiprazole,1,Overall,37757403.48,1158482.5,32241,6955,32.72365004,1171.099019,5428.814303,0,31071646.36,950552.33,25660,4690,32.84330958,1210.898143,6625.084512,0
Abilify,Aripiprazole,1,Otsuka America,37757403.48,1158482.5,32241,6955,32.72365004,1171.099019,5428.814303,0,31071646.36,950552.33,25660,4690,32.84330958,1210.898143,6625.084512,0
Abilify Maintena,Aripiprazole,1,Overall,261850803,138042.611,137385,19543,1896.963569,1905.963555,13398.70046,0,345893454.1,165452.467,164759,22935,2090.804126,2099.390346,15081.46737,0
Abilify Maintena,Aripiprazole,1,Otsuka America,261850803,138042.611,137385,19543,1896.963569,1905.963555,13398.70046,0,345893454.1,165452.467,164759,22935,2090.804126,2099.390346,15081.46737,0
Abilify Mycite,Aripiprazole,1,Overall,,,,,,,,,,,,,,,,
Abilify Mycite,Aripiprazole,1,Otsuka America,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,17,Overall,,,,,,,,,26623436.37,435123,3624,3328,61.15420411,7346.422839,7999.83064,0
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,,,,,,,,,4650291.61,80017,653,599,58.11629541,7121.426662,7763.425058,0
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Avkare,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,,,,,,,,,1127427.3,29604,255,249,38.0836137,4421.283529,4527.820482,1
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,,,,,,,,,1843951.75,27914,242,214,66.05831303,7619.635331,8616.596963,0
Abiraterone Acetate,Abiraterone Acetate,1,Patriot Pharmac,,,,,,,,,8067619.77,125781,1054,974,64.14021013,7654.288207,8282.977177,0
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Mylan Instituti,,,,,,,,,,,,,,,,
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,,,,,,,,,10934145.94,171807,1420,1334,63.64202821,7700.102775,8196.511199,0
Abraxane,Paclitaxel Protein-Bound,1,Overall,4693801.6,3783,710,197,1240.761724,6610.988169,23826.40406,0,5675297.99,4441,828,236,1277.932445,6854.224626,24047.87284,0
Abraxane,Paclitaxel Protein-Bound,1,Celgene/BMS,4693801.6,3783,710,197,1240.761724,6610.988169,23826.40406,0,5675297.99,4441,828,236,1277.932445,6854.224626,24047.87284,0
Absorica,Isotretinoin,1,Overall,379410.66,11460,246,108,33.10201751,1542.319756,3513.061667,0,317230.79,8970,180,78,35.32328921,1762.393278,4067.06141,0
Absorica,Isotretinoin,1,Sun Pharmaceuti,379410.66,11460,246,108,33.10201751,1542.319756,3513.061667,0,317230.79,8970,180,78,35.32328921,1762.393278,4067.06141,0
Absorica Ld,"Isotretinoin, Micronized",1,Overall,,,,,,,,,,,,,,,,
