"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",0.19,0.18,0.18,0.19,0.21,0.216104703,0.219784789,0.216787924,0.217701046,0.223001254,0.225873987,0.227161865
"1st Tier Unifine Pentips Plus",NA,NA,0.2,0.2,0.22,0.217359421,0.203657836,0.187388804,0.200851195,0.232811541,0.235707834,0.240932229
"Abacavir",NA,7.15,6.59,5.52,4.67,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,7.19,6.37,5.5,4.59,4.509293769,4.354163913,3.701155227,3.375141369,3.320886773,3.940359886,3.568940307
"Abacavir",NA,NA,6.25,5.64,4.37,3.922904963,3.601426336,3.194917806,3.38849735,3.032181378,4.090995469,3.876191316
"Abacavir",7.77,7.16,6.44,5.58,4.77,4.666356028,4.458378548,3.868908476,4.029414954,3.643882743,4.398918956,3.854488692
"Abacavir",7.8,7.24,6.39,5.64,4.62,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,22.53,22.39,21.88,21.02,21.69037883,21.02989136,NA,NA,NA,NA,NA
"Abelcet",9.77,10.29,9.3,11.61,8.79,NA,NA,NA,NA,NA,NA,NA
"Abilify",21.67,24.71,28.97,33.13,31.48,32.72365004,32.84330958,33.40220819,34.43652749,32.65616444,23.10964437,23.3197552
