"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst",NA,509.95,532.8,567.93,630.8,711.2945498,796.8670841,850.7048282,906.4593478,958.0729343,1009.793631,1088.759899
"Cabometyx",NA,NA,NA,NA,NA,515.5498338,571.1288102,638.2554064,679.1707016,734.5383888,807.8571761,878.2367759
"Revlimid",389.37,418.4,450.97,489.91,543.59,626.9260148,697.3542512,745.588496,794.3280265,840.1744443,883.0961774,878.2121963
"Ibrance",NA,NA,NA,476.53,494.79,534.6791737,552.8287279,583.9727283,613.2028964,646.3542019,693.942693,753.0159391
"Vyndamax",NA,NA,NA,NA,NA,NA,NA,640.5316021,645.0145436,651.7729443,692.0915113,735.4695895
"Tagrisso",NA,NA,NA,432.62,451.09,486.9053767,503.2600818,510.3303769,521.3509253,531.5106433,547.3922151,569.4504275
"Lenvima",NA,NA,NA,219.9,253.35,281.8756987,317.5854324,341.3468943,377.4737311,407.2317614,446.6532519,492.9720953
"Imbruvica",NA,93.28,95.66,103.92,113.34,125.7444618,303.6208107,363.4199931,392.6581545,426.8797886,460.0289606,486.6250737
"Sprycel",204.91,229.01,250.87,277.96,299.73,324.5180508,340.2825139,359.6340565,377.9716149,399.6318354,417.738976,444.7860938
"Opsumit",NA,234.85,236.21,248.48,260.22,288.3920978,309.5038469,333.0871063,352.0957585,371.3989412,392.2419877,424.6564892
"CPI",229.594,232.957,236.736,237.017,240.007,245.12,251.107,255.657,258.811,270.97,292.655,304.702
