"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",1249,1620,2087,2283,3423,3025,2341,1878,1595,1313,1147,699
"1st Tier Unifine Pentips Plus",NA,NA,1289,4330,6456,5967,5674,5319,3905,1766,1474,1267
"Abacavir",NA,2114,2366,2184,2320,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,1920,2754,3696,4602,3544,3336,2299,1757,1549,1155,965
"Abacavir",NA,NA,867,1823,4580,4333,3360,3305,2951,2373,1767,1433
"Abacavir",5601,7206,6779,6075,2855,1149,1493,1505,1246,842,595,469
"Abacavir",39,49,53,42,26,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,49,1821,1621,1333,971,710,NA,NA,NA,NA,NA
"Abelcet",109,130,116,102,140,NA,NA,NA,NA,NA,NA,NA
"Abilify",376409,396575,405001,322485,39246,6955,4690,3670,2532,2174,1920,1736
