"brand_name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1st Tier Unifine Pentips",403344,518920,677160,717548,1050323,1014318,761658,642471,547006,459384,310304,195672
"1st Tier Unifine Pentips Plus",NA,NA,269725,986070,1715263,1850703,1813908,1830596,1046616,566872,486206,406617
"Abacavir",NA,628513,670970,642855,533661,NA,NA,NA,NA,NA,NA,NA
"Abacavir",NA,495218,867691,1205223,1558949,1296616,1061307,836918,715751,636792,491183,395492
"Abacavir",NA,NA,175808,377106,1547860,1418356,1413429,1473874,1343347,1109140,846204,723048
"Abacavir",1325269,2624085,2613507,2185794,613193,346490,329353,500896,414685,285628,217586,172968
"Abacavir",4477,9690,9939,10556,5485,NA,NA,NA,NA,NA,NA,NA
"Abacavir-Lamivudine-Zidovudine",NA,3473,766713,759933,608455,468341,330735,NA,NA,NA,NA,NA
"Abelcet",59917,56574,55290,47600,85650,NA,NA,NA,NA,NA,NA,NA
"Abilify",82156726,86144617,88194589,47852622,2936585,1158482.5,950552.33,808281.5,716447.5,633899,575817,516496.25
