"brand_name","manufacturer","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pomalyst","Celgene/BMS",NA,127714524.94,260178095.87,359370968.81,476650240.39,639072390.2,911305903.3,1192203838,1453860767,1595079245,1743892720,1709288465
"Revlimid","Celgene/BMS",1017195339.3,1349964592.3,1671622656.7,2077425468.9,2661602600,3311187483,4064871916,4673095052,5356050275,5893547689,5935051092,3859804789
"Thalomid","Celgene/BMS",110870121.05,100210552.87,85288659.09,75426020.41,58553500.84,49979689.68,41483834.14,35068384.65,33138478.09,28865933.14,24535859.18,19395778.16
"Lenalidomide","Alvogen Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64945895.69,261903852.1
"Lenalidomide","Apotex Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8882965.4,145314993.5
"Lenalidomide","Aurobindo Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1748555.48
"Lenalidomide","Camber Pharmace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2346998.62
"Lenalidomide","Cipla USA, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24095924.66,177388702.4
"Lenalidomide","Dr.Reddy'S Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63222131.51,259186953.4
"Lenalidomide","Mylan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48123975.03,154819684.9
"Lenalidomide","Sun Pharmaceuti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95058808.81
"Lenalidomide","Teva Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239161506.5,456296037.8
"Lenalidomide","Zydus Pharmaceu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127227569.7
